anzsic_class_code,anzsic_class_name,anzsic_group_code,year,non_employing,emp_1_4,emp_5_19,emp_20_199,emp_200plus,total_businesses,data_source
2021,Clay Brick Manufacturing,202,2025,13.0,0.0,9.0,4.0,0.0,29.0,ABS 8165.0 DC02 Table 1
2029,Other Ceramic Product Manufacturing,202,2025,276.0,93.0,51.0,25.0,0.0,445.0,ABS 8165.0 DC02 Table 1
2031,Cement and Lime Manufacturing,203,2025,37.0,20.0,13.0,5.0,4.0,79.0,ABS 8165.0 DC02 Table 1
2032,Plaster Product Manufacturing,203,2025,71.0,28.0,23.0,4.0,3.0,128.0,ABS 8165.0 DC02 Table 1
2033,Ready-Mixed Concrete Manufacturing,203,2025,65.0,39.0,43.0,34.0,7.0,188.0,ABS 8165.0 DC02 Table 1
2034,Concrete Product Manufacturing,203,2025,339.0,185.0,147.0,100.0,3.0,774.0,ABS 8165.0 DC02 Table 1
2090,Other Non-Metallic Mineral Product Manufacturing,209,2025,746.0,604.0,304.0,50.0,3.0,1706.0,ABS 8165.0 DC02 Table 1
2110,Iron Smelting and Steel Manufacturing,211,2025,397.0,267.0,212.0,112.0,9.0,997.0,ABS 8165.0 DC02 Table 1
2121,Iron and Steel Casting,212,2025,78.0,50.0,31.0,12.0,3.0,174.0,ABS 8165.0 DC02 Table 1
2122,Steel Pipe and Tube Manufacturing,212,2025,59.0,37.0,27.0,22.0,0.0,147.0,ABS 8165.0 DC02 Table 1
2131,Alumina Production,213,2025,8.0,3.0,4.0,0.0,3.0,19.0,ABS 8165.0 DC02 Table 1
2132,Aluminium Smelting,213,2025,10.0,17.0,10.0,3.0,3.0,43.0,ABS 8165.0 DC02 Table 1
2133,"Copper, Silver, Lead and Zinc Smelting and Refining",213,2025,18.0,14.0,4.0,5.0,3.0,44.0,ABS 8165.0 DC02 Table 1
2139,Other Basic Non-Ferrous Metal Manufacturing,213,2025,64.0,39.0,14.0,11.0,3.0,131.0,ABS 8165.0 DC02 Table 1
2141,Non-Ferrous Metal Casting,214,2025,19.0,13.0,19.0,0.0,0.0,53.0,ABS 8165.0 DC02 Table 1
2142,"Aluminium Rolling, Drawing, Extruding",214,2025,20.0,15.0,22.0,14.0,3.0,72.0,ABS 8165.0 DC02 Table 1
2149,Other Basic Non-Ferrous Metal Product Manufacturing,214,2025,15.0,21.0,17.0,15.0,0.0,69.0,ABS 8165.0 DC02 Table 1
2210,Iron and Steel Forging,221,2025,48.0,38.0,25.0,13.0,0.0,125.0,ABS 8165.0 DC02 Table 1
2221,Structural Steel Fabricating,222,2025,824.0,678.0,445.0,212.0,11.0,2170.0,ABS 8165.0 DC02 Table 1
2222,Prefabricated Metal Building Manufacturing,222,2025,891.0,652.0,286.0,82.0,4.0,1915.0,ABS 8165.0 DC02 Table 1
2223,Architectural Aluminium Product Manufacturing,222,2025,576.0,469.0,373.0,120.0,11.0,1549.0,ABS 8165.0 DC02 Table 1
2224,Metal Roof and Guttering Manufacturing (except Aluminium),222,2025,46.0,31.0,23.0,10.0,4.0,114.0,ABS 8165.0 DC02 Table 1
2229,Other Structural Metal Product Manufacturing,222,2025,668.0,471.0,315.0,96.0,5.0,1555.0,ABS 8165.0 DC02 Table 1
2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",223,2025,813.0,660.0,165.0,47.0,0.0,1686.0,ABS 8165.0 DC02 Table 1
2239,Other Metal Container Manufacturing,223,2025,98.0,67.0,32.0,22.0,5.0,224.0,ABS 8165.0 DC02 Table 1
2240,Sheet Metal Product Manufacturing (except Metal Structural and Container,224,2025,389.0,262.0,228.0,96.0,3.0,977.0,ABS 8165.0 DC02 Table 1
2291,Spring and Wire Product Manufacturing,229,2025,146.0,75.0,52.0,32.0,3.0,306.0,ABS 8165.0 DC02 Table 1
2292,"Nut, Bolt, Screw and Rivet Manufacturing",229,2025,51.0,28.0,29.0,12.0,3.0,122.0,ABS 8165.0 DC02 Table 1
2293,Metal Coating and Finishing,229,2025,537.0,405.0,376.0,117.0,0.0,1435.0,ABS 8165.0 DC02 Table 1
2299,Other Fabricated Metal Product Manufacturing n.e.c.,229,2025,2577.0,1544.0,557.0,174.0,7.0,4859.0,ABS 8165.0 DC02 Table 1
2311,Motor Vehicle Manufacturing,231,2025,169.0,74.0,44.0,23.0,4.0,314.0,ABS 8165.0 DC02 Table 1
2312,Motor Vehicle Body and Trailer Manufacturing,231,2025,666.0,326.0,308.0,178.0,15.0,1493.0,ABS 8165.0 DC02 Table 1
2313,Automotive Electrical Component Manufacturing,231,2025,287.0,127.0,59.0,28.0,3.0,503.0,ABS 8165.0 DC02 Table 1
2319,Other Motor Vehicle Parts Manufacturing,231,2025,554.0,325.0,162.0,95.0,9.0,1145.0,ABS 8165.0 DC02 Table 1
2391,Shipbuilding and Repair Services,239,2025,187.0,134.0,57.0,24.0,10.0,412.0,ABS 8165.0 DC02 Table 1
2392,Boatbuilding and Repair Services,239,2025,738.0,501.0,209.0,44.0,3.0,1495.0,ABS 8165.0 DC02 Table 1
2393,Railway Rolling Stock Manufacturing and Repair Services,239,2025,48.0,25.0,28.0,15.0,7.0,123.0,ABS 8165.0 DC02 Table 1
2394,Aircraft Manufacturing and Repair Services,239,2025,508.0,263.0,143.0,50.0,6.0,970.0,ABS 8165.0 DC02 Table 1
2399,Other Transport Equipment Manufacturing n.e.c.,239,2025,182.0,77.0,31.0,8.0,3.0,301.0,ABS 8165.0 DC02 Table 1
2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",241,2025,83.0,46.0,16.0,7.0,0.0,153.0,ABS 8165.0 DC02 Table 1
2412,Medical and Surgical Equipment Manufacturing,241,2025,886.0,635.0,250.0,68.0,6.0,1845.0,ABS 8165.0 DC02 Table 1
2419,Other Professional and Scientific Equipment Manufacturing,241,2025,364.0,227.0,125.0,61.0,5.0,782.0,ABS 8165.0 DC02 Table 1
2421,Computer and Electronic Office Equipment Manufacturing,242,2025,153.0,77.0,52.0,15.0,0.0,297.0,ABS 8165.0 DC02 Table 1
2422,Communication Equipment Manufacturing,242,2025,146.0,85.0,55.0,32.0,4.0,322.0,ABS 8165.0 DC02 Table 1
2429,Other Electronic Equipment Manufacturing,242,2025,287.0,143.0,85.0,46.0,4.0,565.0,ABS 8165.0 DC02 Table 1
2431,Electric Cable and Wire Manufacturing,243,2025,41.0,23.0,20.0,17.0,3.0,104.0,ABS 8165.0 DC02 Table 1
2432,Electric Lighting Equipment Manufacturing,243,2025,163.0,107.0,66.0,42.0,0.0,378.0,ABS 8165.0 DC02 Table 1
2439,Other Electrical Equipment Manufacturing,243,2025,491.0,268.0,178.0,81.0,11.0,1029.0,ABS 8165.0 DC02 Table 1
2441,Whiteware Appliance Manufacturing,244,2025,58.0,33.0,21.0,3.0,0.0,116.0,ABS 8165.0 DC02 Table 1
2449,Other Domestic Appliance Manufacturing,244,2025,153.0,77.0,28.0,19.0,0.0,278.0,ABS 8165.0 DC02 Table 1
2451,Pump and Compressor Manufacturing,245,2025,61.0,36.0,44.0,36.0,0.0,178.0,ABS 8165.0 DC02 Table 1
2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",245,2025,160.0,113.0,68.0,34.0,4.0,379.0,ABS 8165.0 DC02 Table 1
2461,Agricultural Machinery and Equipment Manufacturing,246,2025,409.0,172.0,167.0,89.0,3.0,839.0,ABS 8165.0 DC02 Table 1
2462,Mining and Construction Machinery Manufacturing,246,2025,399.0,236.0,164.0,82.0,8.0,889.0,ABS 8165.0 DC02 Table 1
2463,Machine Tool and Parts Manufacturing,246,2025,783.0,520.0,300.0,88.0,0.0,1693.0,ABS 8165.0 DC02 Table 1
2469,Other Specialised Machinery and Equipment Manufacturing,246,2025,437.0,237.0,151.0,58.0,4.0,887.0,ABS 8165.0 DC02 Table 1
2491,Lifting and Material Handling Equipment Manufacturing,249,2025,180.0,153.0,129.0,62.0,5.0,529.0,ABS 8165.0 DC02 Table 1
2499,Other Machinery and Equipment Manufacturing n.e.c.,249,2025,351.0,230.0,151.0,89.0,3.0,824.0,ABS 8165.0 DC02 Table 1
2511,Wooden Furniture and Upholstered Seat Manufacturing,251,2025,2253.0,1328.0,616.0,129.0,3.0,4328.0,ABS 8165.0 DC02 Table 1
2512,Metal Furniture Manufacturing,251,2025,206.0,122.0,124.0,33.0,0.0,486.0,ABS 8165.0 DC02 Table 1
2513,Mattress Manufacturing,251,2025,26.0,18.0,16.0,8.0,4.0,72.0,ABS 8165.0 DC02 Table 1
2519,Other Furniture Manufacturing,251,2025,157.0,75.0,42.0,16.0,0.0,290.0,ABS 8165.0 DC02 Table 1
2591,Jewellery and Silverware Manufacturing,259,2025,975.0,347.0,101.0,15.0,0.0,1438.0,ABS 8165.0 DC02 Table 1
2592,"Toy, Sporting and Recreational Product Manufacturing",259,2025,605.0,208.0,97.0,22.0,0.0,932.0,ABS 8165.0 DC02 Table 1
2599,Other Manufacturing n.e.c.,259,2025,821.0,467.0,244.0,63.0,0.0,1595.0,ABS 8165.0 DC02 Table 1
2611,Fossil Fuel Electricity Generation,261,2025,74.0,13.0,7.0,20.0,8.0,122.0,ABS 8165.0 DC02 Table 1
2612,Hydro-Electricity Generation,261,2025,21.0,5.0,0.0,3.0,0.0,32.0,ABS 8165.0 DC02 Table 1
2619,Other Electricity Generation,261,2025,1349.0,219.0,86.0,47.0,4.0,1705.0,ABS 8165.0 DC02 Table 1
2620,Electricity Transmission,262,2025,34.0,11.0,4.0,3.0,4.0,55.0,ABS 8165.0 DC02 Table 1
2630,Electricity Distribution,263,2025,83.0,16.0,6.0,5.0,12.0,122.0,ABS 8165.0 DC02 Table 1
2640,On Selling Electricity and Electricity Market Operation,264,2025,195.0,56.0,22.0,28.0,9.0,310.0,ABS 8165.0 DC02 Table 1
2700,Gas Supply,270,2025,98.0,39.0,30.0,7.0,5.0,179.0,ABS 8165.0 DC02 Table 1
2811,Water Supply,281,2025,344.0,122.0,64.0,43.0,20.0,593.0,ABS 8165.0 DC02 Table 1
2812,Sewerage and Drainage Services,281,2025,105.0,61.0,22.0,6.0,0.0,195.0,ABS 8165.0 DC02 Table 1
2911,Solid Waste Collection Services,291,2025,1111.0,826.0,313.0,100.0,6.0,2356.0,ABS 8165.0 DC02 Table 1
2919,Other Waste Collection Services,291,2025,149.0,122.0,56.0,19.0,3.0,349.0,ABS 8165.0 DC02 Table 1
2921,Waste Treatment and Disposal Services,292,2025,380.0,238.0,136.0,49.0,3.0,804.0,ABS 8165.0 DC02 Table 1
