subdivision_code,subdivision_name,emp_size_band,cohort_2021,surv_rate_1yr,surv_rate_2yr,surv_rate_3yr,surv_rate_4yr,data_source
24,Machinery and Equipment Manufacturing,emp_5_19,2094,97.6,94.0,90.3,86.9,ABS 8165.0 DC04 Table 1
24,Machinery and Equipment Manufacturing,emp_20_199,827,98.8,96.1,94.2,91.7,ABS 8165.0 DC04 Table 1
24,Machinery and Equipment Manufacturing,emp_200plus,58,96.6,89.7,87.9,86.2,ABS 8165.0 DC04 Table 1
24,Machinery and Equipment Manufacturing,total,11610,90.2,82.2,75.6,70.1,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,non_employing,4328,84.8,72.6,63.4,55.8,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,emp_1_4,2653,92.3,84.6,78.1,71.2,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,emp_5_19,1209,96.4,91.7,88.1,82.6,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,emp_20_199,253,97.2,95.3,91.3,88.5,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,emp_200plus,3,100.0,100.0,100.0,100.0,ABS 8165.0 DC04 Table 1
25,Furniture and Other Manufacturing,total,8446,89.3,79.8,72.4,65.6,ABS 8165.0 DC04 Table 1
26,Electricity Supply,non_employing,1194,85.1,76.4,69.0,64.7,ABS 8165.0 DC04 Table 1
26,Electricity Supply,emp_1_4,294,92.5,85.7,81.3,74.8,ABS 8165.0 DC04 Table 1
26,Electricity Supply,emp_5_19,95,93.7,87.4,82.1,80.0,ABS 8165.0 DC04 Table 1
26,Electricity Supply,emp_20_199,77,93.5,92.2,90.9,90.9,ABS 8165.0 DC04 Table 1
26,Electricity Supply,emp_200plus,36,91.7,91.7,83.3,83.3,ABS 8165.0 DC04 Table 1
26,Electricity Supply,total,1703,87.6,79.9,73.6,69.3,ABS 8165.0 DC04 Table 1
27,Gas Supply,non_employing,114,89.5,76.3,68.4,61.4,ABS 8165.0 DC04 Table 1
27,Gas Supply,emp_1_4,48,95.8,91.7,89.6,81.2,ABS 8165.0 DC04 Table 1
27,Gas Supply,emp_5_19,21,100.0,100.0,95.2,95.2,ABS 8165.0 DC04 Table 1
27,Gas Supply,emp_20_199,9,66.7,66.7,66.7,33.3,ABS 8165.0 DC04 Table 1
27,Gas Supply,emp_200plus,6,100.0,50.0,50.0,50.0,ABS 8165.0 DC04 Table 1
27,Gas Supply,total,196,92.3,85.2,81.1,75.0,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",non_employing,470,88.9,81.1,74.7,70.4,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",emp_1_4,185,95.7,90.3,84.9,76.2,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",emp_5_19,95,95.8,90.5,89.5,86.3,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",emp_20_199,49,91.8,91.8,85.7,85.7,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",emp_200plus,22,63.6,63.6,50.0,50.0,ABS 8165.0 DC04 Table 1
28,"Water Supply, Sewerage and Drainage Services",total,816,91.5,85.4,80.4,75.6,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",non_employing,2299,82.3,69.9,60.8,53.1,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",emp_1_4,1897,89.9,80.7,73.9,67.9,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",emp_5_19,801,95.1,90.9,86.1,82.1,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",emp_20_199,216,96.3,94.0,90.7,84.7,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",emp_200plus,18,100.0,83.3,77.8,77.8,ABS 8165.0 DC04 Table 1
29,"Waste Collection, Treatment and Disposal Services",total,5232,87.7,78.2,70.9,64.4,ABS 8165.0 DC04 Table 1
30,Building Construction,non_employing,59142,80.5,66.0,56.5,49.2,ABS 8165.0 DC04 Table 1
30,Building Construction,emp_1_4,30618,90.8,82.9,76.3,70.6,ABS 8165.0 DC04 Table 1
30,Building Construction,emp_5_19,5530,97.0,93.6,89.6,85.8,ABS 8165.0 DC04 Table 1
30,Building Construction,emp_20_199,1016,97.6,95.6,92.3,90.4,ABS 8165.0 DC04 Table 1
