anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
1174,Bakery Product Manufacturing (Non-factory based),117,2025,5108.0,16.5,13.0,ABS 8165.0 DC02 Table 1
1181,Sugar Manufacturing,118,2025,29.0,6.7,10.0,ABS 8165.0 DC02 Table 1
1182,Confectionery Manufacturing,118,2025,377.0,13.3,13.3,ABS 8165.0 DC02 Table 1
1191,"Potato, Corn and Other Crisp Manufacturing",119,2025,11.0,9.1,9.1,ABS 8165.0 DC02 Table 1
1192,Prepared Animal and Bird Feed Manufacturing,119,2025,283.0,9.4,11.1,ABS 8165.0 DC02 Table 1
1199,Other Food Product Manufacturing n.e.c.,119,2025,1864.0,16.4,13.9,ABS 8165.0 DC02 Table 1
1211,"Soft Drink, Cordial and Syrup Manufacturing",121,2025,490.0,17.2,16.8,ABS 8165.0 DC02 Table 1
1212,Beer Manufacturing,121,2025,799.0,10.9,13.2,ABS 8165.0 DC02 Table 1
1213,Spirit Manufacturing,121,2025,197.0,13.8,12.8,ABS 8165.0 DC02 Table 1
1214,Wine and Other Alcoholic Beverage Manufacturing,121,2025,2332.0,8.2,9.4,ABS 8165.0 DC02 Table 1
1220,Cigarette and Tobacco Product Manufacturing,122,2025,4.0,20.0,40.0,ABS 8165.0 DC02 Table 1
1311,Wool Scouring,131,2025,12.0,0.0,14.3,ABS 8165.0 DC02 Table 1
1312,Natural Textile Manufacturing,131,2025,61.0,9.2,15.4,ABS 8165.0 DC02 Table 1
1313,Synthetic Textile Manufacturing,131,2025,54.0,10.9,12.7,ABS 8165.0 DC02 Table 1
1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",132,2025,373.0,12.6,16.7,ABS 8165.0 DC02 Table 1
1331,Textile Floor Covering Manufacturing,133,2025,88.0,11.2,12.4,ABS 8165.0 DC02 Table 1
1332,"Rope, Cordage and Twine Manufacturing",133,2025,71.0,9.7,11.1,ABS 8165.0 DC02 Table 1
1333,Cut and Sewn Textile Product Manufacturing,133,2025,1460.0,8.8,11.9,ABS 8165.0 DC02 Table 1
1334,Textile Finishing and Other Textile Product Manufacturing,133,2025,743.0,10.9,10.8,ABS 8165.0 DC02 Table 1
1340,Knitted Product Manufacturing,134,2025,87.0,17.2,17.2,ABS 8165.0 DC02 Table 1
1351,Clothing Manufacturing,135,2025,2450.0,13.9,17.2,ABS 8165.0 DC02 Table 1
1352,Footwear Manufacturing,135,2025,162.0,11.0,12.2,ABS 8165.0 DC02 Table 1
1411,Log Sawmilling,141,2025,536.0,4.4,6.9,ABS 8165.0 DC02 Table 1
1412,Wood Chipping,141,2025,43.0,6.8,9.1,ABS 8165.0 DC02 Table 1
1413,Timber Resawing and Dressing,141,2025,213.0,10.4,14.0,ABS 8165.0 DC02 Table 1
1491,Prefabricated Wooden Building Manufacturing,149,2025,148.0,11.9,13.9,ABS 8165.0 DC02 Table 1
1492,Wooden Structural Fitting and Component Manufacturing,149,2025,4595.0,12.9,11.9,ABS 8165.0 DC02 Table 1
1493,Veneer and Plywood Manufacturing,149,2025,39.0,13.9,5.6,ABS 8165.0 DC02 Table 1
1494,Reconstituted Wood Product Manufacturing,149,2025,59.0,10.0,11.7,ABS 8165.0 DC02 Table 1
1499,Other Wood Product Manufacturing n.e.c.,149,2025,719.0,10.6,12.9,ABS 8165.0 DC02 Table 1
1510,"Pulp, Paper and Paperboard Manufacturing",151,2025,114.0,13.5,10.8,ABS 8165.0 DC02 Table 1
1521,Corrugated Paperboard and Paperboard Container Manufacturing,152,2025,131.0,4.4,7.4,ABS 8165.0 DC02 Table 1
1522,Paper Bag Manufacturing,152,2025,14.0,6.7,13.3,ABS 8165.0 DC02 Table 1
1523,Paper Stationery Manufacturing,152,2025,166.0,15.9,10.2,ABS 8165.0 DC02 Table 1
1524,Sanitary Paper Product Manufacturing,152,2025,46.0,8.3,12.5,ABS 8165.0 DC02 Table 1
1529,Other Converted Paper Product Manufacturing,152,2025,204.0,18.0,12.9,ABS 8165.0 DC02 Table 1
1611,Printing,161,2025,4061.0,9.6,12.1,ABS 8165.0 DC02 Table 1
1612,Printing Support Services,161,2025,627.0,13.5,13.0,ABS 8165.0 DC02 Table 1
1620,Reproduction of Recorded Media,162,2025,390.0,14.6,13.0,ABS 8165.0 DC02 Table 1
1701,Petroleum Refining and Petroleum Fuel Manufacturing,170,2025,171.0,9.6,13.5,ABS 8165.0 DC02 Table 1
1709,Other Petroleum and Coal Product Manufacturing,170,2025,151.0,10.9,14.1,ABS 8165.0 DC02 Table 1
1811,Industrial Gas Manufacturing,181,2025,91.0,10.1,18.2,ABS 8165.0 DC02 Table 1
1812,Basic Organic Chemical Manufacturing,181,2025,140.0,12.9,17.7,ABS 8165.0 DC02 Table 1
1813,Basic Inorganic Chemical Manufacturing,181,2025,92.0,12.1,11.0,ABS 8165.0 DC02 Table 1
1821,Synthetic Resin and Synthetic Rubber Manufacturing,182,2025,276.0,12.9,11.1,ABS 8165.0 DC02 Table 1
1829,Other Basic Polymer Manufacturing,182,2025,37.0,7.3,17.1,ABS 8165.0 DC02 Table 1
1831,Fertiliser Manufacturing,183,2025,307.0,9.5,12.3,ABS 8165.0 DC02 Table 1
1832,Pesticide Manufacturing,183,2025,83.0,12.3,9.9,ABS 8165.0 DC02 Table 1
1841,Human Pharmaceutical and Medicinal Product Manufacturing,184,2025,596.0,15.7,12.9,ABS 8165.0 DC02 Table 1
1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing,184,2025,91.0,8.8,8.8,ABS 8165.0 DC02 Table 1
1851,Cleaning Compound Manufacturing,185,2025,416.0,12.2,16.2,ABS 8165.0 DC02 Table 1
1852,Cosmetic and Toiletry Preparation Manufacturing,185,2025,1029.0,22.2,18.4,ABS 8165.0 DC02 Table 1
1891,Photographic Chemical Product Manufacturing,189,2025,5.0,50.0,25.0,ABS 8165.0 DC02 Table 1
1892,Explosive Manufacturing,189,2025,33.0,2.9,8.6,ABS 8165.0 DC02 Table 1
1899,Other Basic Chemical Product Manufacturing n.e.c.,189,2025,159.0,15.4,13.5,ABS 8165.0 DC02 Table 1
1911,Polymer Film and Sheet Packaging Material Manufacturing,191,2025,247.0,7.5,9.5,ABS 8165.0 DC02 Table 1
1912,Rigid and Semi-Rigid Polymer Product Manufacturing,191,2025,1258.0,10.3,9.4,ABS 8165.0 DC02 Table 1
1913,Polymer Foam Product Manufacturing,191,2025,114.0,12.1,13.8,ABS 8165.0 DC02 Table 1
1914,Tyre Manufacturing,191,2025,68.0,7.7,20.5,ABS 8165.0 DC02 Table 1
1915,Adhesive Manufacturing,191,2025,46.0,8.5,10.6,ABS 8165.0 DC02 Table 1
1916,Paint and Coatings Manufacturing,191,2025,339.0,11.9,8.3,ABS 8165.0 DC02 Table 1
1919,Other Polymer Product Manufacturing,191,2025,850.0,12.0,10.7,ABS 8165.0 DC02 Table 1
1920,Natural Rubber Product Manufacturing,192,2025,130.0,6.8,8.3,ABS 8165.0 DC02 Table 1
2010,Glass and Glass Product Manufacturing,201,2025,563.0,5.7,7.7,ABS 8165.0 DC02 Table 1
2021,Clay Brick Manufacturing,202,2025,29.0,3.3,6.7,ABS 8165.0 DC02 Table 1
2029,Other Ceramic Product Manufacturing,202,2025,445.0,13.3,11.2,ABS 8165.0 DC02 Table 1
2031,Cement and Lime Manufacturing,203,2025,79.0,15.1,6.8,ABS 8165.0 DC02 Table 1
2032,Plaster Product Manufacturing,203,2025,128.0,11.7,11.7,ABS 8165.0 DC02 Table 1
2033,Ready-Mixed Concrete Manufacturing,203,2025,188.0,8.0,8.0,ABS 8165.0 DC02 Table 1
2034,Concrete Product Manufacturing,203,2025,774.0,11.4,12.5,ABS 8165.0 DC02 Table 1
2090,Other Non-Metallic Mineral Product Manufacturing,209,2025,1706.0,16.4,12.5,ABS 8165.0 DC02 Table 1
2110,Iron Smelting and Steel Manufacturing,211,2025,997.0,8.1,9.6,ABS 8165.0 DC02 Table 1
2121,Iron and Steel Casting,212,2025,174.0,10.6,13.4,ABS 8165.0 DC02 Table 1
2122,Steel Pipe and Tube Manufacturing,212,2025,147.0,7.7,13.5,ABS 8165.0 DC02 Table 1
2131,Alumina Production,213,2025,19.0,0.0,13.6,ABS 8165.0 DC02 Table 1
2132,Aluminium Smelting,213,2025,43.0,9.5,7.1,ABS 8165.0 DC02 Table 1
2133,"Copper, Silver, Lead and Zinc Smelting and Refining",213,2025,44.0,17.8,20.0,ABS 8165.0 DC02 Table 1
2139,Other Basic Non-Ferrous Metal Manufacturing,213,2025,131.0,10.6,11.4,ABS 8165.0 DC02 Table 1
2141,Non-Ferrous Metal Casting,214,2025,53.0,7.8,3.9,ABS 8165.0 DC02 Table 1
2142,"Aluminium Rolling, Drawing, Extruding",214,2025,72.0,11.1,11.1,ABS 8165.0 DC02 Table 1
2149,Other Basic Non-Ferrous Metal Product Manufacturing,214,2025,69.0,7.2,7.2,ABS 8165.0 DC02 Table 1
2210,Iron and Steel Forging,221,2025,125.0,6.2,10.0,ABS 8165.0 DC02 Table 1
2221,Structural Steel Fabricating,222,2025,2170.0,11.1,11.0,ABS 8165.0 DC02 Table 1
2222,Prefabricated Metal Building Manufacturing,222,2025,1915.0,18.7,12.7,ABS 8165.0 DC02 Table 1
2223,Architectural Aluminium Product Manufacturing,222,2025,1549.0,10.7,11.8,ABS 8165.0 DC02 Table 1
2224,Metal Roof and Guttering Manufacturing (except Aluminium),222,2025,114.0,10.7,16.5,ABS 8165.0 DC02 Table 1
2229,Other Structural Metal Product Manufacturing,222,2025,1555.0,11.9,12.0,ABS 8165.0 DC02 Table 1
2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",223,2025,1686.0,15.7,13.6,ABS 8165.0 DC02 Table 1
2239,Other Metal Container Manufacturing,223,2025,224.0,16.4,14.2,ABS 8165.0 DC02 Table 1
2240,Sheet Metal Product Manufacturing (except Metal Structural and Container,224,2025,977.0,6.4,8.3,ABS 8165.0 DC02 Table 1
2291,Spring and Wire Product Manufacturing,229,2025,306.0,8.1,9.1,ABS 8165.0 DC02 Table 1
2292,"Nut, Bolt, Screw and Rivet Manufacturing",229,2025,122.0,7.4,6.6,ABS 8165.0 DC02 Table 1
2293,Metal Coating and Finishing,229,2025,1435.0,9.3,10.0,ABS 8165.0 DC02 Table 1
2299,Other Fabricated Metal Product Manufacturing n.e.c.,229,2025,4859.0,13.1,13.5,ABS 8165.0 DC02 Table 1
2311,Motor Vehicle Manufacturing,231,2025,314.0,9.0,11.8,ABS 8165.0 DC02 Table 1
2312,Motor Vehicle Body and Trailer Manufacturing,231,2025,1493.0,10.7,12.9,ABS 8165.0 DC02 Table 1
2313,Automotive Electrical Component Manufacturing,231,2025,503.0,14.4,13.6,ABS 8165.0 DC02 Table 1
2319,Other Motor Vehicle Parts Manufacturing,231,2025,1145.0,12.5,11.8,ABS 8165.0 DC02 Table 1
2391,Shipbuilding and Repair Services,239,2025,412.0,11.6,10.1,ABS 8165.0 DC02 Table 1
2392,Boatbuilding and Repair Services,239,2025,1495.0,11.3,11.0,ABS 8165.0 DC02 Table 1
2393,Railway Rolling Stock Manufacturing and Repair Services,239,2025,123.0,8.9,8.9,ABS 8165.0 DC02 Table 1
2394,Aircraft Manufacturing and Repair Services,239,2025,970.0,12.9,10.5,ABS 8165.0 DC02 Table 1
2399,Other Transport Equipment Manufacturing n.e.c.,239,2025,301.0,14.2,14.6,ABS 8165.0 DC02 Table 1
2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",241,2025,153.0,11.9,10.6,ABS 8165.0 DC02 Table 1
2412,Medical and Surgical Equipment Manufacturing,241,2025,1845.0,10.4,9.2,ABS 8165.0 DC02 Table 1
2419,Other Professional and Scientific Equipment Manufacturing,241,2025,782.0,10.4,8.9,ABS 8165.0 DC02 Table 1
2421,Computer and Electronic Office Equipment Manufacturing,242,2025,297.0,8.2,14.5,ABS 8165.0 DC02 Table 1
2422,Communication Equipment Manufacturing,242,2025,322.0,9.1,7.6,ABS 8165.0 DC02 Table 1
2429,Other Electronic Equipment Manufacturing,242,2025,565.0,10.6,12.5,ABS 8165.0 DC02 Table 1
2431,Electric Cable and Wire Manufacturing,243,2025,104.0,16.5,9.3,ABS 8165.0 DC02 Table 1
2432,Electric Lighting Equipment Manufacturing,243,2025,378.0,7.3,12.5,ABS 8165.0 DC02 Table 1
2439,Other Electrical Equipment Manufacturing,243,2025,1029.0,15.1,10.6,ABS 8165.0 DC02 Table 1
2441,Whiteware Appliance Manufacturing,244,2025,116.0,11.0,12.7,ABS 8165.0 DC02 Table 1
2449,Other Domestic Appliance Manufacturing,244,2025,278.0,17.0,16.3,ABS 8165.0 DC02 Table 1
2451,Pump and Compressor Manufacturing,245,2025,178.0,4.8,9.1,ABS 8165.0 DC02 Table 1
2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",245,2025,379.0,11.8,12.1,ABS 8165.0 DC02 Table 1
2461,Agricultural Machinery and Equipment Manufacturing,246,2025,839.0,9.3,8.2,ABS 8165.0 DC02 Table 1
2462,Mining and Construction Machinery Manufacturing,246,2025,889.0,12.6,10.5,ABS 8165.0 DC02 Table 1
2463,Machine Tool and Parts Manufacturing,246,2025,1693.0,12.3,10.7,ABS 8165.0 DC02 Table 1
2469,Other Specialised Machinery and Equipment Manufacturing,246,2025,887.0,16.1,13.9,ABS 8165.0 DC02 Table 1
2491,Lifting and Material Handling Equipment Manufacturing,249,2025,529.0,10.8,10.4,ABS 8165.0 DC02 Table 1
2499,Other Machinery and Equipment Manufacturing n.e.c.,249,2025,824.0,9.0,7.9,ABS 8165.0 DC02 Table 1
2511,Wooden Furniture and Upholstered Seat Manufacturing,251,2025,4328.0,13.8,12.3,ABS 8165.0 DC02 Table 1
2512,Metal Furniture Manufacturing,251,2025,486.0,7.8,10.4,ABS 8165.0 DC02 Table 1
2513,Mattress Manufacturing,251,2025,72.0,10.3,4.4,ABS 8165.0 DC02 Table 1
2519,Other Furniture Manufacturing,251,2025,290.0,12.3,10.5,ABS 8165.0 DC02 Table 1
2591,Jewellery and Silverware Manufacturing,259,2025,1438.0,12.1,12.7,ABS 8165.0 DC02 Table 1
2592,"Toy, Sporting and Recreational Product Manufacturing",259,2025,932.0,14.3,15.3,ABS 8165.0 DC02 Table 1
2599,Other Manufacturing n.e.c.,259,2025,1595.0,10.4,13.2,ABS 8165.0 DC02 Table 1
2611,Fossil Fuel Electricity Generation,261,2025,122.0,18.2,7.3,ABS 8165.0 DC02 Table 1
2612,Hydro-Electricity Generation,261,2025,32.0,17.6,23.5,ABS 8165.0 DC02 Table 1
2619,Other Electricity Generation,261,2025,1705.0,18.8,14.0,ABS 8165.0 DC02 Table 1
2620,Electricity Transmission,262,2025,55.0,11.3,7.5,ABS 8165.0 DC02 Table 1
2630,Electricity Distribution,263,2025,122.0,16.7,15.0,ABS 8165.0 DC02 Table 1
2640,On Selling Electricity and Electricity Market Operation,264,2025,310.0,14.9,12.3,ABS 8165.0 DC02 Table 1
2700,Gas Supply,270,2025,179.0,5.2,12.0,ABS 8165.0 DC02 Table 1
2811,Water Supply,281,2025,593.0,6.7,6.7,ABS 8165.0 DC02 Table 1
2812,Sewerage and Drainage Services,281,2025,195.0,10.3,10.3,ABS 8165.0 DC02 Table 1
2911,Solid Waste Collection Services,291,2025,2356.0,14.5,15.1,ABS 8165.0 DC02 Table 1
2919,Other Waste Collection Services,291,2025,349.0,9.4,7.0,ABS 8165.0 DC02 Table 1
2921,Waste Treatment and Disposal Services,292,2025,804.0,9.1,11.6,ABS 8165.0 DC02 Table 1
2922,Waste Remediation and Materials Recovery Services,292,2025,2048.0,16.8,15.7,ABS 8165.0 DC02 Table 1
3011,House Construction,301,2025,66002.0,21.8,16.1,ABS 8165.0 DC02 Table 1
3019,Other Residential Building Construction,301,2025,29331.0,19.7,16.3,ABS 8165.0 DC02 Table 1
3020,Non-Residential Building Construction,302,2025,18623.0,16.5,13.0,ABS 8165.0 DC02 Table 1
3101,Road and Bridge Construction,310,2025,2492.0,11.8,12.6,ABS 8165.0 DC02 Table 1
3109,Other Heavy and Civil Engineering Construction,310,2025,7973.0,12.3,13.1,ABS 8165.0 DC02 Table 1
3211,Land Development and Subdivision,321,2025,12656.0,13.3,13.4,ABS 8165.0 DC02 Table 1
3212,Site Preparation Services,321,2025,22619.0,13.1,12.1,ABS 8165.0 DC02 Table 1
3221,Concreting Services,322,2025,16129.0,17.2,16.2,ABS 8165.0 DC02 Table 1
3222,Bricklaying Services,322,2025,9280.0,14.0,17.3,ABS 8165.0 DC02 Table 1
3223,Roofing Services,322,2025,6240.0,16.6,15.9,ABS 8165.0 DC02 Table 1
3224,Structural Steel Erection Services,322,2025,5139.0,17.5,16.3,ABS 8165.0 DC02 Table 1
3231,Plumbing Services,323,2025,31380.0,13.6,11.9,ABS 8165.0 DC02 Table 1
3232,Electrical Services,323,2025,48279.0,13.8,12.2,ABS 8165.0 DC02 Table 1
3233,Air Conditioning and Heating Services,323,2025,7481.0,13.5,10.4,ABS 8165.0 DC02 Table 1
3234,Fire and Security Alarm Installation Services,323,2025,4074.0,14.2,11.1,ABS 8165.0 DC02 Table 1
3239,Other Building Installation Services,323,2025,6249.0,14.5,12.9,ABS 8165.0 DC02 Table 1
3241,Plastering and Ceiling Services,324,2025,16407.0,15.6,16.5,ABS 8165.0 DC02 Table 1
3242,Carpentry Services,324,2025,53883.0,17.5,15.7,ABS 8165.0 DC02 Table 1
3243,Tiling and Carpeting Services,324,2025,20560.0,16.6,14.1,ABS 8165.0 DC02 Table 1
3244,Painting and Decorating Services,324,2025,24357.0,17.0,14.6,ABS 8165.0 DC02 Table 1
3245,Glazing Services,324,2025,3990.0,14.8,12.4,ABS 8165.0 DC02 Table 1
3291,Landscape Construction Services,329,2025,19283.0,16.4,14.2,ABS 8165.0 DC02 Table 1
3292,Hire of Construction Machinery with Operator,329,2025,2182.0,12.3,11.2,ABS 8165.0 DC02 Table 1
3299,Other Construction Services n.e.c.,329,2025,28330.0,21.8,19.3,ABS 8165.0 DC02 Table 1
3311,Wool Wholesaling,331,2025,143.0,2.7,6.1,ABS 8165.0 DC02 Table 1
3312,Cereal Grain Wholesaling,331,2025,317.0,5.4,9.7,ABS 8165.0 DC02 Table 1
3319,Other Agricultural Product Wholesaling,331,2025,3756.0,9.2,11.2,ABS 8165.0 DC02 Table 1
3321,Petroleum Product Wholesaling,332,2025,699.0,10.1,9.5,ABS 8165.0 DC02 Table 1
3322,Metal and Mineral Wholesaling,332,2025,1599.0,11.6,11.4,ABS 8165.0 DC02 Table 1
3323,Industrial and Agricultural Chemical Product Wholesaling,332,2025,2327.0,10.1,10.6,ABS 8165.0 DC02 Table 1
3331,Timber Wholesaling,333,2025,887.0,11.6,11.4,ABS 8165.0 DC02 Table 1
3332,Plumbing Goods Wholesaling,333,2025,750.0,12.0,12.0,ABS 8165.0 DC02 Table 1
3339,Other Hardware Goods Wholesaling,333,2025,5361.0,16.0,12.3,ABS 8165.0 DC02 Table 1
3411,Agricultural and Construction Machinery Wholesaling,341,2025,1826.0,11.2,10.3,ABS 8165.0 DC02 Table 1
3419,Other Specialised Industrial Machinery and Equipment Wholesaling,341,2025,2364.0,11.7,8.9,ABS 8165.0 DC02 Table 1
3491,Professional and Scientific Goods Wholesaling,349,2025,2391.0,12.2,11.7,ABS 8165.0 DC02 Table 1
3492,Computer and Computer Peripheral Wholesaling,349,2025,1172.0,5.6,9.6,ABS 8165.0 DC02 Table 1
3493,Telecommunication Goods Wholesaling,349,2025,858.0,15.8,14.0,ABS 8165.0 DC02 Table 1
3494,Other Electrical and Electronic Goods Wholesaling,349,2025,4379.0,12.6,12.2,ABS 8165.0 DC02 Table 1
3499,Other Machinery and Equipment Wholesaling n.e.c.,349,2025,2183.0,9.4,9.6,ABS 8165.0 DC02 Table 1
3501,Car Wholesaling,350,2025,1180.0,19.7,15.8,ABS 8165.0 DC02 Table 1
3502,Commercial Vehicle Wholesaling,350,2025,268.0,9.7,10.0,ABS 8165.0 DC02 Table 1
3503,Trailer and Other Motor Vehicle Wholesaling,350,2025,198.0,11.6,11.6,ABS 8165.0 DC02 Table 1
3504,Motor Vehicle New Parts Wholesaling,350,2025,2516.0,14.0,12.1,ABS 8165.0 DC02 Table 1
3505,Motor Vehicle Dismantling and Used Parts Wholesaling,350,2025,1700.0,20.0,15.5,ABS 8165.0 DC02 Table 1
3601,General Line Grocery Wholesaling,360,2025,709.0,15.3,14.1,ABS 8165.0 DC02 Table 1
3602,"Meat, Poultry and Smallgoods Wholesaling",360,2025,1296.0,10.8,11.2,ABS 8165.0 DC02 Table 1
3603,Dairy Produce Wholesaling,360,2025,545.0,11.9,12.2,ABS 8165.0 DC02 Table 1
3604,Fish and Seafood Wholesaling,360,2025,784.0,9.3,13.2,ABS 8165.0 DC02 Table 1
3605,Fruit and Vegetable Wholesaling,360,2025,1441.0,7.8,10.4,ABS 8165.0 DC02 Table 1
3606,Liquor and Tobacco Product Wholesaling,360,2025,2258.0,13.8,13.9,ABS 8165.0 DC02 Table 1
3609,Other Grocery Wholesaling,360,2025,5281.0,13.2,14.1,ABS 8165.0 DC02 Table 1
3711,Textile Product Wholesaling,371,2025,1162.0,11.6,11.1,ABS 8165.0 DC02 Table 1
3712,Clothing and Footwear Wholesaling,371,2025,2799.0,10.8,12.6,ABS 8165.0 DC02 Table 1
3720,Pharmaceutical and Toiletry Goods Wholesaling,372,2025,2680.0,13.5,15.4,ABS 8165.0 DC02 Table 1
3731,Furniture and Floor Covering Wholesaling,373,2025,1823.0,12.0,13.7,ABS 8165.0 DC02 Table 1
3732,Jewellery and Watch Wholesaling,373,2025,1002.0,12.3,16.8,ABS 8165.0 DC02 Table 1
3733,Kitchen and Diningware Wholesaling,373,2025,1309.0,13.6,18.7,ABS 8165.0 DC02 Table 1
3734,Toy and Sporting Goods Wholesaling,373,2025,1431.0,9.4,10.8,ABS 8165.0 DC02 Table 1
3735,Book and Magazine Wholesaling,373,2025,270.0,7.6,10.1,ABS 8165.0 DC02 Table 1
3736,Paper Product Wholesaling,373,2025,957.0,10.9,9.8,ABS 8165.0 DC02 Table 1
3739,Other Goods Wholesaling n.e.c.,373,2025,4115.0,8.8,13.7,ABS 8165.0 DC02 Table 1
3800,Commission-Based Wholesaling,380,2025,15361.0,21.1,18.7,ABS 8165.0 DC02 Table 1
3911,Car Retailing,391,2025,4969.0,14.3,12.2,ABS 8165.0 DC02 Table 1
3912,Motor Cycle Retailing,391,2025,581.0,7.4,9.4,ABS 8165.0 DC02 Table 1
3913,Trailer and Other Motor Vehicle Retailing,391,2025,538.0,12.8,14.1,ABS 8165.0 DC02 Table 1
3921,Motor Vehicle Parts Retailing,392,2025,2799.0,10.6,11.6,ABS 8165.0 DC02 Table 1
3922,Tyre Retailing,392,2025,2171.0,10.1,10.2,ABS 8165.0 DC02 Table 1
4000,Fuel Retailing,400,2025,4032.0,15.8,12.3,ABS 8165.0 DC02 Table 1
4110,Supermarket and Grocery Stores,411,2025,10313.0,21.8,14.9,ABS 8165.0 DC02 Table 1
4121,"Fresh Meat, Fish and Poultry Retailing",412,2025,3987.0,10.5,11.9,ABS 8165.0 DC02 Table 1
4122,Fruit and Vegetable Retailing,412,2025,2240.0,14.2,15.5,ABS 8165.0 DC02 Table 1
4123,Liquor Retailing,412,2025,2427.0,10.6,11.5,ABS 8165.0 DC02 Table 1
4129,Other Specialised Food Retailing,412,2025,7075.0,16.2,16.7,ABS 8165.0 DC02 Table 1
4211,Furniture Retailing,421,2025,3447.0,8.5,12.4,ABS 8165.0 DC02 Table 1
4212,Floor Coverings Retailing,421,2025,2005.0,10.2,10.4,ABS 8165.0 DC02 Table 1
4213,Houseware Retailing,421,2025,1701.0,10.7,16.2,ABS 8165.0 DC02 Table 1
4214,Manchester and Other Textile Goods Retailing,421,2025,1292.0,7.1,11.4,ABS 8165.0 DC02 Table 1
4221,"Electrical, Electronic and Gas Appliance Retailing",422,2025,4892.0,16.2,14.8,ABS 8165.0 DC02 Table 1
4222,Computer and Computer Peripheral Retailing,422,2025,2703.0,8.5,12.3,ABS 8165.0 DC02 Table 1
4229,Other Electrical and Electronic Goods Retailing,422,2025,1700.0,11.7,14.7,ABS 8165.0 DC02 Table 1
4231,Hardware and Building Supplies Retailing,423,2025,5880.0,10.3,11.1,ABS 8165.0 DC02 Table 1
4232,Garden Supplies Retailing,423,2025,2335.0,8.0,12.7,ABS 8165.0 DC02 Table 1
4241,Sport and Camping Equipment Retailing,424,2025,3903.0,11.6,13.9,ABS 8165.0 DC02 Table 1
4242,Entertainment Media Retailing,424,2025,631.0,12.8,13.2,ABS 8165.0 DC02 Table 1
4243,Toy and Game Retailing,424,2025,1715.0,18.0,18.6,ABS 8165.0 DC02 Table 1
4244,Newspaper and Book Retailing,424,2025,2914.0,6.8,12.2,ABS 8165.0 DC02 Table 1
4245,Marine Equipment Retailing,424,2025,892.0,10.5,10.1,ABS 8165.0 DC02 Table 1
