anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
4251,Clothing Retailing,425,2025,14642.0,19.2,19.7,ABS 8165.0 DC02 Table 1
4252,Footwear Retailing,425,2025,1125.0,10.1,13.7,ABS 8165.0 DC02 Table 1
4253,Watch and Jewellery Retailing,425,2025,2656.0,9.9,13.8,ABS 8165.0 DC02 Table 1
4259,Other Personal Accessory Retailing,425,2025,664.0,11.9,16.9,ABS 8165.0 DC02 Table 1
4260,Department Stores,426,2025,177.0,13.3,15.5,ABS 8165.0 DC02 Table 1
4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",427,2025,8990.0,11.0,9.2,ABS 8165.0 DC02 Table 1
4272,Stationery Goods Retailing,427,2025,787.0,10.0,13.2,ABS 8165.0 DC02 Table 1
4273,Antique and Used Goods Retailing,427,2025,2215.0,11.7,14.1,ABS 8165.0 DC02 Table 1
4274,Flower Retailing,427,2025,2690.0,12.4,16.4,ABS 8165.0 DC02 Table 1
4279,Other Store-Based Retailing n.e.c.,427,2025,14966.0,14.5,17.6,ABS 8165.0 DC02 Table 1
4310,Non-Store Retailing,431,2025,24869.0,24.1,22.3,ABS 8165.0 DC02 Table 1
4320,Retail Commission-Based Buying and/or Selling,432,2025,5246.0,16.6,20.0,ABS 8165.0 DC02 Table 1
4400,Accommodation,440,2025,13805.0,9.9,11.9,ABS 8165.0 DC02 Table 1
4511,Cafes and Restaurants,451,2025,56305.0,18.2,17.1,ABS 8165.0 DC02 Table 1
4512,Takeaway Food Services,451,2025,27415.0,23.1,18.7,ABS 8165.0 DC02 Table 1
4513,Catering Services,451,2025,4964.0,17.6,19.0,ABS 8165.0 DC02 Table 1
4520,"Pubs, Taverns and Bars",452,2025,6874.0,12.0,13.3,ABS 8165.0 DC02 Table 1
4530,Clubs (Hospitality),453,2025,3577.0,6.6,5.1,ABS 8165.0 DC02 Table 1
4610,Road Freight Transport,461,2025,65225.0,20.2,16.6,ABS 8165.0 DC02 Table 1
4621,Interurban and Rural Bus Transport,462,2025,619.0,9.9,12.4,ABS 8165.0 DC02 Table 1
4622,Urban Bus Transport (Including Tramway),462,2025,1963.0,10.5,10.3,ABS 8165.0 DC02 Table 1
4623,Taxi and Other Road Transport,462,2025,33116.0,18.0,23.1,ABS 8165.0 DC02 Table 1
4710,Rail Freight Transport,471,2025,49.0,4.1,4.1,ABS 8165.0 DC02 Table 1
4720,Rail Passenger Transport,472,2025,43.0,12.5,5.0,ABS 8165.0 DC02 Table 1
4810,Water Freight Transport,481,2025,395.0,17.7,11.6,ABS 8165.0 DC02 Table 1
4820,Water Passenger Transport,482,2025,336.0,15.8,15.8,ABS 8165.0 DC02 Table 1
4900,Air and Space Transport,490,2025,1480.0,12.2,11.4,ABS 8165.0 DC02 Table 1
5010,Scenic and Sightseeing Transport,501,2025,2566.0,12.8,14.4,ABS 8165.0 DC02 Table 1
5021,Pipeline Transport,502,2025,80.0,16.0,9.3,ABS 8165.0 DC02 Table 1
5029,Other Transport n.e.c.,502,2025,847.0,8.6,13.6,ABS 8165.0 DC02 Table 1
5101,Postal Services,510,2025,5167.0,15.8,16.5,ABS 8165.0 DC02 Table 1
5102,Courier Pick-up and Delivery Services,510,2025,67061.0,50.1,26.7,ABS 8165.0 DC02 Table 1
5211,Stevedoring Services,521,2025,145.0,32.8,10.9,ABS 8165.0 DC02 Table 1
5212,Port and Water Transport Terminal Operations,521,2025,177.0,10.5,7.0,ABS 8165.0 DC02 Table 1
5219,Other Water Transport Support Services,521,2025,943.0,20.8,13.5,ABS 8165.0 DC02 Table 1
