division,subdivision_code,subdivision_name,year,wages_m,iva_m,employment_000,labour_share_pct,data_source
Mining,07,Oil and gas extraction,2022,3553.0,57897.0,17.6,6.14,ABS 8155.0 DO001
Mining,07,Oil and gas extraction,2023,4034.0,98627.0,18.2,4.09,ABS 8155.0 DO001
Mining,07,Oil and gas extraction,2024,4412.0,83344.0,19.4,5.29,ABS 8155.0 DO001
Mining,08,Metal ore mining,2022,13675.0,151352.0,87.3,9.04,ABS 8155.0 DO001
Mining,08,Metal ore mining,2023,15506.0,132559.0,94.2,11.7,ABS 8155.0 DO001
Mining,08,Metal ore mining,2024,16985.0,144002.0,101.0,11.79,ABS 8155.0 DO001
Mining,09,Non-metallic mineral mining and quarrying,2022,1336.0,4770.0,13.0,28.01,ABS 8155.0 DO001
Mining,09,Non-metallic mineral mining and quarrying,2023,1492.0,14202.0,14.8,10.51,ABS 8155.0 DO001
Mining,09,Non-metallic mineral mining and quarrying,2024,1630.0,15186.0,15.7,10.73,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2022,6048.0,8364.0,45.1,72.31,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2023,6587.0,8374.0,49.0,78.66,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2024,7551.0,10267.0,52.7,73.55,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2022,30768.0,285962.0,201.9,10.76,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2023,34451.0,353098.0,218.7,9.76,ABS 8155.0 DO001
Mining,10,Exploration and other mining support services,2024,38388.0,312246.0,234.7,12.29,ABS 8155.0 DO001
Manufacturing,11,Food product manufacturing,2022,12891.0,23295.0,202.8,55.34,ABS 8155.0 DO001
Manufacturing,11,Food product manufacturing,2023,14428.0,25063.0,213.4,57.57,ABS 8155.0 DO001
Manufacturing,11,Food product manufacturing,2024,15606.0,28880.0,224.5,54.04,ABS 8155.0 DO001
Manufacturing,12,Beverage and tobacco product manufacturing,2022,2451.0,5303.0,35.4,46.22,ABS 8155.0 DO001
Manufacturing,12,Beverage and tobacco product manufacturing,2023,2854.0,5248.0,38.6,54.38,ABS 8155.0 DO001
Manufacturing,12,Beverage and tobacco product manufacturing,2024,3018.0,5752.0,40.5,52.47,ABS 8155.0 DO001
Manufacturing,13,"Textile, leather, clothing and footwear manufacturing",2022,1363.0,2627.0,29.8,51.88,ABS 8155.0 DO001
Manufacturing,13,"Textile, leather, clothing and footwear manufacturing",2023,1458.0,2677.0,28.3,54.46,ABS 8155.0 DO001
Manufacturing,13,"Textile, leather, clothing and footwear manufacturing",2024,1452.0,2586.0,27.3,56.15,ABS 8155.0 DO001
Manufacturing,14,Wood product manufacturing,2022,2726.0,5712.0,47.5,47.72,ABS 8155.0 DO001
Manufacturing,14,Wood product manufacturing,2023,3009.0,6911.0,48.0,43.54,ABS 8155.0 DO001
Manufacturing,14,Wood product manufacturing,2024,3253.0,6375.0,47.1,51.03,ABS 8155.0 DO001
Manufacturing,15,"Pulp, paper and converted paper product manufacturing",2022,1548.0,2607.0,15.7,59.38,ABS 8155.0 DO001
